Species/Life Stage,Total Habitat (km),Connected Habitat (km),Disconnected Habitat (km),Current Connectivity Status (% Connected),Total Number of Structures,Number of Unassessed Structures,Number of Data-Deficient Barriers,Number of Priority Barriers
All species and life stages (lumped),5489.89,5287.71,202.18,96,73,67,8*,1
Chinook Salmon spawning,1493.46,1468.81,24.65,98,10,7,2,1
Chinook Salmon rearing,2022.68,1938.89,83.79,96,35,29,5,1
Coho Salmon spawning,1591.52,1535.62,55.90,96,42,41,0,1
Coho Salmon rearing,2013.28,1927.14,86.14,96,51,50,0,1
Sockeye Salmon spawning,382.77,359.22,23.55,94,8,4,4,0
Sockeye Salmon rearing,2426.89,2379.13,47.76,98,1,0,1,0
Steelhead spawning,1354.25,1338.93,15.32,99,8,7,0,1
Steelhead rearing,2147.67,2072.27,75.40,96,52,51,0,1
,*Includes 3 data deficient barriers with no modeled habitat upstream,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
