Barrier ID,Site Name,Watershed Name,Structure Status,Average Habitat Upstream of Barriers (km),Actual Habitat Upstream of Barriers (km)
125788,Natazutlo Cr @ Kazchek FSR (125788),Middle River,Data-deficient barrier,63.83,63.83
197620,Triple Cr @ rail (197620),Sustut River,Priority barrier,12.20,12.20
1200000024,Garner Cr @ unnamed (1200000024),Upper Skeena River,Unassessed,10.90,10.90
1020001538,Dust Creek @ spur off Beaverdale Rd (20001538),Takla Lake,Unassessed,10.15,10.15
1200000046,Trib 12 to Skeena R @ Railway (1200000046),Middle Skeena River,Unassessed,7.62,7.62
1019500445,Minaret Cr @ rail (19500445),Sustut River,Unassessed,7.07,7.07
1200000045,Trib 11 to Skeena R @ Railway (1200000045),Middle Skeena River,Unassessed,5.79,5.79
1020000184,Teegee Cr @ unnamed (20000184),Takla Lake,Unassessed,3.51,0.12
204010,Teegee Cr @ Branch off Driftwood FSR (204010),Takla Lake,Data-deficient barrier,3.51,2.10
204008,Teegee Cr @ Driftwood FSR (204008),Takla Lake,Data-deficient barrier,3.51,5.07
203996,Teegee Cr @ Fall Rd (203996),Takla Lake,Data-deficient barrier,3.51,6.74
203995,MacDougall Cr @ 900 FSR (203995),Takla Lake,Data-deficient barrier,5.60,5.60
1019500100,Trib to Moosevale Cr @ Thutade FSR (19500100),Sustut River,Unassessed,4.10,4.10
1200000044,Trib 8 to Skeena R @ Unnamed Rd (1200000044),Upper Skeena River,Unassessed,3.84,3.84
1019500369,Trib to Sustut R @ Sec I FSR (19500369),Sustut River,Unassessed,3.35,3.35
1200000047,Trib 13 to Skeena R @ Railway (1200000047),Middle Skeena River,Unassessed,3.40,3.40
1200000039,Trib to Sustut R @ Unnamed Rd (1200000039),Sustut River,Unassessed,2.23,1.45
1019500444,Trib to Sustut R @ rail (19500444),Sustut River,Unassessed,2.23,3.01
1019500220,Trib to Moosevale Cr @ Thutade FSR (19500220),Sustut River,Unassessed,2.81,2.81
1200000042,Trib 3 to Skeena R @ Railway (1200000042),Upper Skeena River,Unassessed,1.86,0.26
1024000043,Trib 3 to Skeena R @ unnamed (24000043),Upper Skeena River,Unassessed,1.86,3.46
1019500187,Trib to Moosevale Cr @ unnamed (19500187),Sustut River,Unassessed,2.06,2.06
1019500410,Trib to Sustut R @ SUS016.7000 FSR (19500410),Sustut River,Unassessed,2.79,2.79
1019500053,Trib to February Cr @ Section C FSR (19500053),Sustut River,Unassessed,1.47,1.02
1019500275,Trib to Sustut R @ Section L FSR (19500275),Sustut River,Unassessed,1.47,1.91
1019500219,Trib to Moosevale Cr @ Thutade FSR (19500219),Sustut River,Unassessed,1.81,1.81
1019500117,Trib to Moosevale Cr @ unnamed (19500117),Sustut River,Unassessed,1.78,1.78
1014200031,Trib 10 to Skeena R @ unnamed (14200031),Middle Skeena River,Unassessed,1.31,0.21
1200000050,Trib 10 to Skeena R @ Railway (1200000050),Middle Skeena River,Unassessed,1.31,2.41
1019500217,Trib to Moosevale Cr @ Thutade FSR (19500217),Sustut River,Unassessed,1.76,1.76
1019500427,Trib to Sustut R @ rail (19500427),Sustut River,Unassessed,1.13,0.62
1019500341,Trib to Sustut R @ Sustut FSR (19500341),Sustut River,Unassessed,1.13,1.63
1200000038,Mohammed Cr @ Railway (1200000038),Middle Skeena River,Unassessed,1.74,1.74
1019500411,Trib to Sustut R @ SUS016.7000 FSR (19500411),Sustut River,Unassessed,1.64,1.64
