Barrier ID,Site Name,Watershed Name ,Structure Type,Reason for Exclusion ,Reason Details
1004300374,,Driftwood River,Stream crossing - CBS,No key upstream habitat,No stream
1013501298,,Middle River,Stream crossing - CBS,No key upstream habitat,Site not naturally accessible to salmon
1019500003,,Sustut River,Stream crossing - OBS,Passable,"Confirmed as bridge during Triple Creek habitat confirmation, reaffirmed during trib-by-trib review"
1020000931,,Takla Lake,Stream crossing - OBS,Passable,
1020001275,,Takla Lake,Stream crossing - OBS,Passable,CN database indicates that this is a bridge
203989,1020001201,Takla Lake,Stream crossing - OBS,Passable,OBS bridge
203992,,Middle River,Stream crossing - CBS,No key upstream habitat,
203988,,Middle River,Stream crossing - CBS,No key upstream habitat,
204009,,Takla Lake,Stream crossing - OBS,Passable,OBS bridge
1024727615,,,None,No structure,Confirmed no structure via trib-by-trib review
1020000195,,,None,No structure,No structure
1024703304,,,None,No structure,Confirmed no structure via satellite imagery review
1020001125,,,None,No structure,Confirmed no structure via trib-by-trib review
1020000192,,,Other,No structure,No structure
1020001309,,,None,No structure,Confirmed no structure via trib-by-trib review
1013500133,,,None,No structure,No structure
1013500137,,,None,No structure,No structure
1020001718,,,None,No structure,No structure
1019500110,,,None,No structure,Confirmed no structure via satellite imagery review
1024723775,,,None,No structure,Bridge confirmed removed during trib-by-trib review
1020001391,,,None,No structure,Confirmed no structure via trib-by-trib review
1013500985,,,None,No structure,No structure
1024200092,,,None,No structure,No structure
ANK-02B,,,None,No structure,
1020001291,,,None,No structure,No structure
1024000091,,,None,No structure,Visibly no structure on satellite imagery
1020001700,,,None,No structure,Confirmed no structure during trib-by-trib review
1020001828,,,None,No structure,No structure
1024726949,,,None,No structure,Confirmed no structure via satellite imagery review
