Barrier ID,Site Name,Watershed Name,Structure Status,Average Habitat Upstream of Barriers (km),Actual Habitat Upstream of Barriers (km)
125788,Natazutlo Cr @ Kazchek FSR (125788),Middle River,Data-deficient barrier,63.83,63.83
197620,Triple Cr @ rail (197620),Sustut River,Priority barrier,76.03,76.03
1200000024,Garner Cr @ unnamed (1200000024),Upper Skeena River,Unassessed structure,86.93,86.93
1020001538,Dust Creek @ spur off Beaverdale Rd (20001538),Takla Lake,Unassessed structure,97.08,97.08
1200000046,Trib 12 to Skeena R @ Railway (1200000046),Middle Skeena River,Unassessed structure,104.7,104.7
1019500445,Minaret Cr @ rail (19500445),Sustut River,Unassessed structure,111.77,111.77
1200000045,Trib 11 to Skeena R @ Railway (1200000045),Middle Skeena River,Unassessed structure,117.56,117.56
1020000184,Teegee Cr @ unnamed (20000184),Takla Lake,Unassessed structure,121.0675,117.68
204010,Teegee Cr @ Branch off Driftwood FSR (204010),Takla Lake,Data-deficient barrier,124.575,119.78
204008,Teegee Cr @ Driftwood FSR (204008),Takla Lake,Data-deficient barrier,128.0825,124.85
203996,Teegee Cr @ Fall Rd (203996),Takla Lake,Data-deficient barrier,131.59,131.59
203995,MacDougall Cr @ 900 FSR (203995),Takla Lake,Data-deficient barrier,137.19,137.19
1019500100,Trib to Moosevale Cr @ Thutade FSR (19500100),Sustut River,Unassessed structure,141.29,141.29
1200000044,Trib 8 to Skeena R @ Unnamed Rd (1200000044),Upper Skeena River,Unassessed structure,145.13,145.13
1019500369,Trib to Sustut R @ Sec I FSR (19500369),Sustut River,Unassessed structure,148.48,148.48
1200000047,Trib 13 to Skeena R @ Railway (1200000047),Middle Skeena River,Unassessed structure,151.88,151.88
1200000039,Trib to Sustut R @ Unnamed Rd (1200000039),Sustut River,Unassessed structure,154.11,153.33
1019500444,Trib to Sustut R @ rail (19500444),Sustut River,Unassessed structure,156.34,156.34
1019500220,Trib to Moosevale Cr @ Thutade FSR (19500220),Sustut River,Unassessed structure,159.15,159.15
1200000042,Trib 3 to Skeena R @ Railway (1200000042),Upper Skeena River,Unassessed structure,161.01,159.41
1024000043,Trib 3 to Skeena R @ unnamed (24000043),Upper Skeena River,Unassessed structure,162.87,162.87
1019500187,Trib to Moosevale Cr @ unnamed (19500187),Sustut River,Unassessed structure,164.93,164.93
